"celltype_subtype","cells","percentage"
"Luminal_ERplus_Cancer",12220,13.1122914319438
"NK",10585,11.3579054670315
"CD4_T",9438,10.1271527442459
"Treg",7069,7.585170878266
"Activated_Cytotoxic_T",6012,6.45098985997103
"Basal_Epithelial",5704,6.12050002682547
"FOLR2_Resident_Macrophage",5683,6.097966629111
"Luminal_Epithelial",4384,4.70411502763024
"ACKR1_Endothelial",3936,4.22340254305488
"Cycling_Lineage_Unresolved",3731,4.00343366060411
"Plasmablast_Plasma",3266,3.50447985406942
"Fibroblast_like_CAF",3185,3.4175653200279
"Vascular_Endothelial",3046,3.26841568753688
"B_cell",3014,3.23407908149579
"LRRC15_Matrix_CAF",2935,3.14931058533183
"Smooth_Muscle_Perivascular",2890,3.10102473308654
"FCN1_Inflammatory_Myeloid",2797,3.0012339717796
"RGS5_Pericyte",2449,2.62782338108268
"Cycling_Myeloid_Unresolved",359,0.385213799023553
"Plasmacytoid_Dendritic_Cell",318,0.341220022533398
"Lymphatic_Endothelial",140,0.150222651429798
"Cycling_Epithelial_LowConfidence",34,0.0364826439186652
